,content,comments,nickname,url
0,X,[0],X,X
1,"[디시人터뷰] 송유진-전재익, 컬링 신예에서 컬링 스타로",[0],X,https://gall.dcinside.com/https://dcnewsj.joins.com/dcarticle/28671
2,삭제된 게시글 및 ip차단목록,[0],ㅇㅇ,https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35424&page=1
3,침펄 둘이 게임하는거,[2],(1.227),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35456&page=1
4,공손찬전 재밌길래 여포전도 보려고 했는데,[1],(219.241),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35454&page=1
5,방장님 삼국지14하는거 재밌음?,[2],SEYDSLRL,https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35453&page=1
6,메탈슬러그도 똥착력 개높네,[0],(119.195),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35452&page=1
7,말년햄 티알피쥐 언제또하냐,[2],(14.41),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35451&page=1
8,이말년 서유기 재밌냐?,[6],(180.68),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35450&page=1
9,분명히 비슷한 장르인거 같은데,[5],(211.36),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35449&page=1
10,다음주 수요일에 배디 나미춘 침터뷰ㄷㄷ,[5],볼볼,https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35448&page=1
11,침펄 게임할때마다,[0],(119.195),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35447&page=1
12,침착맨 롤잘함?? 롤 안해서,[4],(110.70),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35446&page=1
13,기안84 복학왕에 침펄나오네,[0],(1.253),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35445&page=1
14,그 책 이말년서유기 단행본 어디서 사냐???,[2],(175.223),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35443&page=1
15,침튜브 왜케 짧게 안끊고 한영상을 길게 가져가는거야?,[21],(118.235),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35438&page=1
16,와 매직박 안본사이에 유튜브 구독자수 많이 늘었네,[3],(175.113),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35433&page=1
17,오프닝이랑 엔딩 곡 뭐에요?,[2],(110.70),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35432&page=1
18,방장이나 배도라지가 롤하는거 보는게 재밌는거지,[3],(183.103),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35431&page=1
19,방장도 게임영상에 대한 고민은 많았음,[2],(175.223),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35430&page=1
20,구의동 버거형제 이제야 보는데,[2],(119.195),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35429&page=1
21,영걸전이 아니라 간옹전이네,[0],ㅇㅇ,https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35427&page=1
22,유투브 훈수충 왜케 많누,[3],(59.23),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35426&page=1
23,보통 유튭에서 잘나가는 롤영상들보면,[1],(117.111),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35425&page=1
24,침방송 라이브보면 건질포인트 되게많은데,[5],(175.223),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35422&page=1
25,침착맨 방송보니까 롤이 땡기네,[2],(211.169),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35420&page=1
26,머리크기,[6],꼬꼬,https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35416&page=1
27,침착맨 방송 엔딩송 제목이뭐야?,[2],(58.236),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35414&page=1
28,확대편집은 누가 편집했던거임?,[2],(110.14),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35413&page=1
29,새하얀 눈밭에 발자국 새기는 기분,[0],(119.195),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35412&page=1
30,관리가 미흡했던 점 사과드립니다.,[12],구리넥스,https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35421&page=1
31,관리안할거면 갤 닫던지..,[1],뚜아뚜지,https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35417&page=1
32,아 좀 부매인지 매니저인지,[10],(1.227),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35409&page=1
33,트수도 싫고 빠수니도 싫음,[2],(110.70),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35406&page=1
34,아프리카는 좀 그렇고,[4],(117.111),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35404&page=1
35,침펄풍 서유리 집들이 방송한거 구독자전용임?,[1],(223.62),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35403&page=1
36,아이언 브론즈 껴서 대회하려면,[0],(119.193),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35402&page=1
37,갓국지 7편 언제올라오냐 이말이야,[2],(219.241),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35401&page=1
38,방장 방송스케줄 다시 꽉꽉찼네,[4],(112.220),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35400&page=1
39,오늘은 롤각이노,[1],(59.17),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35399&page=1
40,롤영상은 걍 정치질 하는 것만 올려도 ㅅㅌㅊ찍을듯,[1],(211.36),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35398&page=1
41,일전에 6호가 와우 편집할때 개욕먹었잖아,[2],(106.102),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35397&page=1
42,이번 trpg도 재밌는데 난 던전월드가 더 나은듯,[2],(39.7),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35396&page=1
43,개방장 지금처럼 소소한 방송에 유튜버로 밀고가는게 좋은거같다,[8],(58.127),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35395&page=1
44,임세모 몇살임???,[4],(223.39),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35394&page=1
45,주펄 빙탕후루 이번화 덧글반응 개싸하네,[7],t1love,https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35392&page=1
46,말발굽을 정비하는 주펄과 그의 머리를 핥는 말.gif,[0],(222.238),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35391&page=1
47,여러명은아니고 trpg할때 유독 씹지랄 하는애가 하나있더라,[2],(117.111),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35390&page=1
48,2호 침수자 잘 함,[10],(115.21),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35389&page=1
49,고전겜 월드컵에 캐슬배니아가 안나오네,[1],(121.140),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35388&page=1
50,trpg볼려는데 유튭이 낫냐 트위치 다시보기가 낫냐?,[5],(182.229),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35387&page=1
51,김성회님 텐션 개오지네,[0],(180.68),https://gall.dcinside.com//mgallery/board/view/?id=leemalnyeon&no=35386&page=1
